index,region,year,P,R
956,Adelaide Plains,2023,839.0,681.0
957,Barossa Valley,2023,1988.0,88769.0
958,Bendigo,2023,1168.0,414.0
959,Blackwood Valley,2023,1235.0,322.0
960,Canberra District,2023,2715.0,491.0
961,Central Victoria - other,2023,889.0,2472.0
962,Clare Valley,2023,1862.0,14794.0
963,Coonawarra,2023,1500.0,7206.0
964,Eden Valley,2023,2646.0,6442.0
965,Fleurieu - other,2023,940.0,1467.0
966,Geelong,2023,2848.0,698.0
967,Geographe,2023,1283.0,569.0
968,Goulburn Valley,2023,669.0,443.0
969,Grampians,2023,1363.0,1362.0
970,Granite Belt,2023,1969.0,151.0
971,Great Southern,2023,2096.0,2984.0
972,Gundagai,2023,1100.0,3142.0
973,Heathcote,2023,1170.0,3353.0
974,Hilltops,2023,1339.0,474.0
975,Hunter Valley,2023,2139.0,2398.0
976,Langhorne Creek,2023,899.0,8513.0
977,Limestone Coast - other,2023,1167.0,3210.0
978,Margaret River,2023,1448.0,5785.0
979,McLaren Vale,2023,1734.0,26365.0
980,Mornington Peninsula,2023,5337.0,380.0
981,Mudgee,2023,1364.0,688.0
982,Murray Darling - Swan Hill (NSW),2023,372.0,6442.0
983,Murray Darling - Swan Hill (Vic),2023,307.0,8662.0
984,North East Victoria - other,2023,1022.0,150.0
985,Orange,2023,1625.0,1474.0
986,Padthaway,2023,1164.0,9588.0
987,Pyrenees,2023,1319.0,555.0
988,Riverina,2023,362.0,11496.0
989,Riverland,2023,224.0,23814.0
990,Rutherglen,2023,923.0,1046.0
991,SA - other,2023,520.0,1355.0
992,Swan District,2023,1339.0,92.0
993,Wrattonbully,2023,1222.0,5548.0
994,Yarra Valley,2023,2218.0,1483.0
