year,P
2001,1410.857142857143
2002,1420.5681818181818
2003,1286.0
2004,1254.404761904762
2005,1071.8333333333333
2006,999.2307692307693
2007,1057.02
2008,1155.811320754717
2009,1046.9583333333333
2010,896.7
2011,825.2558139534884
2012,998.2962962962963
2013,1540.3695652173913
2014,1210.7826086956522
2015,1071.8157894736842
2016,1145.5714285714287
2017,1265.1538461538462
2018,1263.7837837837837
2019,1381.8809523809523
2020,1519.775
2021,1428.95
2022,1487.2105263157894
2023,1453.95
