region,year,P,R
Murray Darling - Swan Hill (Vic),2021,572.0,32102.0
North East Victoria - other,2021,1059.0,497.0
Orange,2021,1437.0,872.0
Padthaway,2021,1162.0,15372.0
Pyrenees,2021,1279.0,1102.0
Riverina,2021,527.0,32626.0
Riverland,2021,552.0,85819.0
Rutherglen,2021,1181.0,1543.0
SA - other,2021,1039.0,2915.0
Swan District,2021,984.0,136.0
Western Victoria - other,2021,1873.0,103.0
Wrattonbully,2021,1092.0,10152.0
Yarra Valley,2021,2067.0,1968.0
Adelaide Hills,2022,1864.0,2704.0
Adelaide Plains,2022,980.0,1009.0
Alpine Valleys,2022,1721.0,106.0
Barossa Valley,2022,2224.0,64647.0
Beechworth,2022,2612.0,202.0
Bendigo,2022,936.0,706.0
Big Rivers - other,2022,393.0,693.0
Blackwood Valley,2022,1144.0,286.0
Canberra District,2022,2871.0,224.0
Central Ranges - other,2022,271.0,120.0
Central Victoria - other,2022,539.0,1374.0
Clare Valley,2022,1753.0,16016.0
Coonawarra,2022,1193.0,7757.0
Cowra,2022,778.0,53.0
Eden Valley,2022,2640.0,5066.0
Fleurieu - other,2022,1179.0,16762.0
Geelong,2022,2778.0,574.0
Geographe,2022,1227.0,695.0
Glenrowan,2022,1000.0,430.0
Goulburn Valley,2022,818.0,1417.0
Grampians,2022,1418.0,2020.0
Granite Belt,2022,1600.0,90.0
Great Southern,2022,2076.0,4816.0
Gundagai,2022,1077.0,2519.0
Heathcote,2022,1098.0,5824.0
Henty,2022,2300.0,22.0
Hilltops,2022,1592.0,705.0
Hunter Valley,2022,2078.0,2019.0
Langhorne Creek,2022,824.0,3692.0
Limestone Coast - other,2022,924.0,2734.0
Macedon Ranges,2022,2596.0,24.0
Manjimup,2022,1200.0,54.0
Margaret River,2022,1419.0,5935.0
McLaren Vale,2022,1892.0,38793.0
Mornington Peninsula,2022,5139.0,274.0
Mudgee,2022,1334.0,444.0
Murray Darling - Swan Hill (NSW),2022,366.0,7976.0
Murray Darling - Swan Hill (Vic),2022,396.0,19127.0
North East Victoria - other,2022,942.0,386.0
Orange,2022,1251.0,1050.0
Padthaway,2022,1172.0,9421.0
Pemberton,2022,1500.0,26.0
Perricoota,2022,460.0,405.0
Perth Hills,2022,1500.0,99.0
Pyrenees,2022,1700.0,746.0
Riverina,2022,361.0,19927.0
Riverland,2022,345.0,44250.0
Rutherglen,2022,1157.0,2279.0
SA - other,2022,1368.0,2015.0
Strathbogie Ranges,2022,1133.0,255.0
Sunbury,2022,1500.0,38.0
Swan District,2022,871.0,207.0
Tas,2022,3240.0,421.0
Upper Goulburn,2022,1668.0,146.0
Western Victoria - other,2022,2413.0,78.0
Wrattonbully,2022,1396.0,6971.0
Yarra Valley,2022,2544.0,1542.0
Adelaide Hills,2023,1834.0,1453.0
Adelaide Plains,2023,839.0,681.0
Barossa Valley,2023,1988.0,88769.0
Bendigo,2023,1168.0,414.0
Blackwood Valley,2023,1235.0,322.0
Canberra District,2023,2715.0,491.0
Central Victoria - other,2023,889.0,2472.0
Clare Valley,2023,1862.0,14794.0
Coonawarra,2023,1500.0,7206.0
Eden Valley,2023,2646.0,6442.0
Fleurieu - other,2023,940.0,1467.0
Geelong,2023,2848.0,698.0
Geographe,2023,1283.0,569.0
Goulburn Valley,2023,669.0,443.0
Grampians,2023,1363.0,1362.0
Granite Belt,2023,1969.0,151.0
Great Southern,2023,2096.0,2984.0
Gundagai,2023,1100.0,3142.0
Heathcote,2023,1170.0,3353.0
Hilltops,2023,1339.0,474.0
Hunter Valley,2023,2139.0,2398.0
Langhorne Creek,2023,899.0,8513.0
Limestone Coast - other,2023,1167.0,3210.0
Margaret River,2023,1448.0,5785.0
McLaren Vale,2023,1734.0,26365.0
Mornington Peninsula,2023,5337.0,380.0
Mudgee,2023,1364.0,688.0
Murray Darling - Swan Hill (NSW),2023,372.0,6442.0
Murray Darling - Swan Hill (Vic),2023,307.0,8662.0
North East Victoria - other,2023,1022.0,150.0
Orange,2023,1625.0,1474.0
Padthaway,2023,1164.0,9588.0
Pyrenees,2023,1319.0,555.0
Riverina,2023,362.0,11496.0
Riverland,2023,224.0,23814.0
Rutherglen,2023,923.0,1046.0
SA - other,2023,520.0,1355.0
Swan District,2023,1339.0,92.0
Wrattonbully,2023,1222.0,5548.0
Yarra Valley,2023,2218.0,1483.0
